Zeile, id, Bild, Info, Bewertung1, Bewertung2, Bewertung3, Timestamp
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,BananeAlt.png,,100,31,0,1520752985
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,FruehlingszwiebelNeu.png,"68% der bisherigen Teilnehmer würden diese Lauchzwiebel noch essen oder verwerten.",0,51,0,1520752995
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,ApfelAlt.png,"63% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",29,7,0,1520753004
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,KarotteNeu.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",100,55,0,1520753011
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,TraubenAlt.png,"Diese Rispe von Trauben hat circa 65,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",0,0,0,1520753019
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,LimetteAlt.png,"Diese Limette hat circa 100 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",0,37,17,1520753031
81,c1jtn2gu7j6edlj0tucm3h67kf4gmhs9,KarotteAlt.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",2,37,21,1520753039
357,kpe7s46nuh3ni805itasbp5puhlla4nc,PaprikaNeu.png,"Auf Chefkoch.de gibt es mehr als 2500 einfache Rezepte mit Paprika.",62,66,19,1520754111
357,kpe7s46nuh3ni805itasbp5puhlla4nc,FruehlingszwiebelNeu.png,,62,50,16,1520754151
357,kpe7s46nuh3ni805itasbp5puhlla4nc,ApfelAlt.png,"68% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",66,66,25,1520754168
357,kpe7s46nuh3ni805itasbp5puhlla4nc,KarotteAlt.png,,46,44,17,1520754210
357,kpe7s46nuh3ni805itasbp5puhlla4nc,TraubenNeu.png,"Diese Rispe von Trauben hat circa 65,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",72,15,16,1520754224
357,kpe7s46nuh3ni805itasbp5puhlla4nc,KarotteNeu.png,,74,57,44,1520754267
357,kpe7s46nuh3ni805itasbp5puhlla4nc,BirneNeu.png,"63% der bisherigen Teilnehmer würden diese Birne noch essen oder verwerten.",65,64,36,1520754277
357,kpe7s46nuh3ni805itasbp5puhlla4nc,BananeAlt.png,"Diese Banane hat circa 95,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",65,59,42,1520754291
357,kpe7s46nuh3ni805itasbp5puhlla4nc,BananeNeu.png,"Für 1 kg Bananen, d.h. ca. 9 Bananen, werden 0,57 kg oder 288 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 13 Stunden. ",71,76,36,1520754298
357,kpe7s46nuh3ni805itasbp5puhlla4nc,LimetteAlt.png,"Auf Chefkoch.de gibt es mehr als 1000 einfache Rezepte mit Limette.",62,59,30,1520754308
357,kpe7s46nuh3ni805itasbp5puhlla4nc,TraubenAlt.png,"Für 1 kg Trauben, d.h. ca. 10 Rispen Trauben, werden 0,37 kg oder 187 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 8 Stunden. ",58,59,41,1520754323
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,PaprikaNeu.png,"Für 1 kg Paprika, d.h. ca. 6 Paprika, werden 0,64 kg oder 323 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 14 Stunden. ",100,100,0,1520754324
357,kpe7s46nuh3ni805itasbp5puhlla4nc,FruehlingszwiebelAlt.png,,40,33,38,1520754368
357,kpe7s46nuh3ni805itasbp5puhlla4nc,PaprikaAlt.png,"Auf Chefkoch.de gibt es mehr als 2500 einfache Rezepte mit Paprika.",52,53,54,1520754382
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,TraubenAlt.png,"Auf Chefkoch.de gibt es mehr als 400 einfache Rezepte mit Trauben.",0,0,100,1520754391
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,BirneAlt.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",21,100,23,1520754414
357,kpe7s46nuh3ni805itasbp5puhlla4nc,BirneAlt.png,"60% der bisherigen Teilnehmer würden diese Birne noch essen oder verwerten.",52,42,42,1520754429
357,kpe7s46nuh3ni805itasbp5puhlla4nc,ApfelNeu.png,"67% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",64,52,38,1520754437
357,kpe7s46nuh3ni805itasbp5puhlla4nc,LimetteNeu.png,"Auf Chefkoch.de gibt es mehr als 1000 einfache Rezepte mit Limette.",35,66,34,1520754448
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,KarotteNeu.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",100,100,0,1520754451
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,BananeNeu.png,,100,0,0,1520754452
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,PaprikaAlt.png,"66% der bisherigen Teilnehmer würden diese Paprika noch essen oder verwerten.",73,72,0,1520754476
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,FruehlingszwiebelNeu.png,"Für 1 kg Frühlingszwiebel, d.h. ca. 50 Frühlingszwiebeln, werden 0,21 kg oder 106 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 5 Stunden. ",100,100,0,1520754495
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,BananeNeu.png,,100,51,0,1520754536
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,TraubenNeu.png,"Diese Rispe von Trauben hat circa 65,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",100,0,0,1520754550
459,vlge0qd56evpscuqf72f34vvaic85e90,BananeNeu.png,"64% der bisherigen Teilnehmer würden diese Banane noch essen oder verwerten.",100,36,0,1520754560
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,BirneNeu.png,"Auf Chefkoch.de gibt es mehr als 700 einfache Rezepte mit Birne.",100,100,1,1520754570
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,TraubenNeu.png,"Auf Chefkoch.de gibt es mehr als 400 einfache Rezepte mit Trauben.",100,0,0,1520754576
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,LimetteNeu.png,,0,100,0,1520754595
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,LimetteAlt.png,,0,0,100,1520754654
459,vlge0qd56evpscuqf72f34vvaic85e90,LimetteAlt.png,"Auf Chefkoch.de gibt es mehr als 1000 einfache Rezepte mit Limette.",15,66,82,1520754656
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,TraubenAlt.png,"Für 1 kg Trauben, d.h. ca. 10 Rispen Trauben, werden 0,37 kg oder 187 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 8 Stunden. ",100,0,0,1520754667
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,FruehlingszwiebelAlt.png,"Diese Lauchzwiebel hat circa 7 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",100,100,0,1520754707
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,FruehlingszwiebelAlt.png,"74% der bisherigen Teilnehmer würden diese Lauchzwiebel noch essen oder verwerten.",0,100,0,1520754731
459,vlge0qd56evpscuqf72f34vvaic85e90,KarotteNeu.png,"73% der bisherigen Teilnehmer würden diese Karotte noch essen oder verwerten.",78,78,0,1520754738
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,ApfelAlt.png,,20,74,74,1520754745
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,KarotteAlt.png,"Auf Chefkoch.de gibt es mehr als 6500 einfache Rezepte mit Karotte.",16,12,85,1520754749
492,lu3qshfsgh1t0kp59ucoh6o7ceo2v780,BirneAlt.png,"72% der bisherigen Teilnehmer würden diese Birne noch essen oder verwerten.",0,0,100,1520754835
459,vlge0qd56evpscuqf72f34vvaic85e90,TraubenNeu.png,"Diese Rispe von Trauben hat circa 65,5 Liter Wasser während der Produktion, des Transports und der Lagerung verbraucht bzw. verschmutzt. ",78,0,0,1520754859
239,4fa93huqjcc6tl0hpbq5bek0t3s3h6u9,KarotteAlt.png,"Für 1 kg Karotten, d.h. ca. 16 Karotten, werden 0,27 kg oder 136 Liter CO2 verbraucht. Ein Mensch erzeugt beim Atmen die gleiche Menge an CO2 in ungefähr 6 Stunden. ",92,83,11,1520754870
294,1tnlcl1lfmcmu643gmhu424r3jt75nlm,ApfelAlt.png,"73% der bisherigen Teilnehmer würden diesen Apfel noch essen oder verwerten.",0,53,73,1520754874
